model,main_language,cer,cer_full,wer,coverage,semantic_error_count,semantic_error_rate,semantic_document_score,semantic_has_error_pct,n
Qwen 2.5 VL 3B,Dutch,206.8886017307588,206.8886017307588,203.93486776755017,0.9607490909090909,18.672727272727272,0.0509119347946263,0.5615767753716864,0.9090909090909091,55
Qwen 2.5 VL 3B,English,180.1450686615164,180.1450686615164,285.28642076598334,0.9542196428571429,19.785714285714285,0.042842821766927656,0.5542116730155663,0.8928571428571429,56
Qwen 2.5 VL 3B,Finnish,121.18150900421116,124.77769898588274,135.05673987324784,0.8709555555555555,18.11111111111111,0.01211665794676891,0.560920200816614,0.8888888888888888,9
Qwen 2.5 VL 3B,French,444.70673558828406,444.99930059092935,444.98604705257645,0.9548872727272727,26.581818181818182,0.05513224162949898,0.5917619059688295,0.8181818181818182,55
Qwen 2.5 VL 3B,German,1148.780839048595,1148.8558391607091,1559.022527074058,0.9775711538461539,23.365384615384617,0.057450131159954045,0.6003718178903843,0.9615384615384616,52
Qwen 2.5 VL 3B,Greek,920.9994028213241,920.9994028213241,1460.24857000055,0.9905433333333333,0.0,0.0,0.5800255764894501,0.0,30
Qwen 2.5 VL 3B,Hebrew,431.9446434881181,432.840247199054,295.8966076411629,0.8712966666666666,0.0,0.0,0.40466094155997745,0.0,30
Qwen 2.5 VL 3B,Hindi,31.36233055833704,31.36233055833704,74.6651031586911,0.9842233333333333,0.0,0.0,0.5750768204919606,0.0,30
Qwen 2.5 VL 3B,Italian,194.253392653194,194.253392653194,357.84530258022687,0.958344827586207,23.75862068965517,0.06432310032574003,0.5629892939815392,0.9310344827586207,29
Qwen 2.5 VL 3B,Japanese,4791.670558552205,4791.66207794178,14625.0,0.8909549999999999,0.05,0.0006666666666666666,0.4600320445728453,0.016666666666666666,60
Qwen 2.5 VL 3B,Khmer,1986.3809659312922,1986.38646741246,428.8981953756212,0.84776,0.06666666666666667,0.0006116207951070337,0.20505069219587005,0.03333333333333333,30
Qwen 2.5 VL 3B,Latin,653.6067639677138,654.7482723805181,1152.016416344166,0.9240466666666667,21.05,0.05080149708411299,0.5929410380500088,0.9166666666666666,60
Qwen 2.5 VL 3B,Norwegian,570.189940075362,570.189940075362,964.6179194748639,0.9748433333333334,28.266666666666666,0.13811765121518907,0.5049756713831921,1.0,30
Qwen 2.5 VL 3B,Persian,319.9366578447545,320.34501886358066,304.4019819799527,0.9459392857142858,0.0,0.0,0.5381825342471176,0.0,28
Qwen 2.5 VL 3B,Polish,34.52649840733733,34.68136324180875,65.54000379496699,0.937604,6.64,0.01132989985509518,0.6853713152966739,0.92,25
Qwen 2.5 VL 3B,Portuguese,2832.5555646022663,2833.4489629916256,3182.7218661405473,0.8820033333333334,70.43333333333334,0.12287065463290621,0.5622418261223043,0.9333333333333333,30
Qwen 2.5 VL 3B,Romanian,49.27538613311499,49.27210206086541,94.05608101559373,0.9219068965517241,13.482758620689655,0.03531462102045527,0.6949129058895359,0.27586206896551724,29
Qwen 2.5 VL 3B,Sanskrit,649.1835387638929,649.1835387638929,17751.137209810837,0.9631116666666666,0.0,0.0,0.5901046223534925,0.0,60
Qwen 2.5 VL 3B,Slovenian,15.756475945273499,15.756475945273499,45.84161297671532,0.9978966666666668,2.2333333333333334,0.00778548137295351,0.6760710419984922,0.6666666666666666,30
Qwen 2.5 VL 3B,Spanish,677.8966359633821,677.8966359633821,795.8164149811986,0.98015,49.733333333333334,0.113075768970261,0.6343373693852462,0.8833333333333333,60
Qwen 2.5 VL 3B,Swedish,83.70925531453271,84.60117012905674,124.5310398453183,0.9055415094339622,21.60377358490566,0.047287524636844096,0.5367887817205671,1.0,53
Qwen 2.5 VL 3B,Turkish,830.7195456298792,830.7195456298792,890.1488918880242,0.9437066666666667,0.0,0.0,0.5148674925570688,0.0,30
Qwen 2.5 VL 3B,Vietnamese,975.4672800557344,975.4672800557344,350.0,0.9445333333333333,0.0,0.0,0.5210430842737777,0.0,30
